External Library Name, Link to License, License Name, Binaries using the license.
fdt, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master/README.license, BSD-2-Clause, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./qemu-img ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
jsoncpp, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master/LICENSE, MIT, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless OpenglRender.so ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/NOTICE, MIT, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
flatbuffers, Apache-2.0, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, https://github.com/google/flatbuffers
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libyuv, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qemu/linux-x86_64/qemu-system-armel-headless ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless OpenglRender.so ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./emulator ./qemu-img emugl_common.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qsn ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/NOTICE, BSD-2-Clause, ./qemu/linux-x86_64/qemu-system-armel ./emulator-check ./qemu-img android-emu-metrics.so ./goldfish-webrtc-bridge ./qemu/linux-x86_64/qemu-system-x86_64-headless android-emu-curl.so ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless android-emu-agents.so ./nimble_bridge ./qemu/linux-x86_64/qemu-system-aarch64-headless ./emulator emugl_common.so ./qsn ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 OpenglRender.so ./qemu/linux-x86_64/qemu-system-x86_64, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
